Cst_Cnt,R_PO4,O2Sat,O2ml_L,STheta,Salnty,R_DYNHT,T_degC,R_Depth,Btl_Cnt,Distance,Wind_Spd,Wave_Ht,Wave_Prd,IntChl,Dry_T
14999.00016,0.999904407,2.999999849,0.209999986,27.08299992,34.39500085,1.010000025,5.98999965,600.0000012,400001.0133,-166.6189772,8,3,4.999999814,617.2549283,15.69999941
14999.00016,0.595012998,2.999999849,0.209999986,27.08600073,34.3960008,1.010000025,5.969999845,602.9999927,400002.0146,-20.76552789,8,3,4.999999814,560.9276224,15.69999941
15000.00012,3.210356378,100.9000036,5.459999743,24.31599928,33.72499802,0,17.91999921,0,400003.016,-575.7741983,13.00000031,8.999999814,9.999999627,396.4566454,15.49999944
15000.00012,1.221149699,101.3000018,5.489999526,24.33200135,33.72900004,0.03,17.87000171,9.999999689,400004.0173,-44.70268693,13.00000031,8.999999814,9.999999627,75.67226602,15.49999944
15000.00012,3.282552003,10.55181752,0.376622122,24.69588522,33.63228729,0.069999998,17.67999976,19.99999938,400005.0187,-245.6879792,13.00000031,8.999999814,9.999999627,43.72973246,15.49999944
15000.00012,3.863665418,100.5999978,5.499999851,24.47400059,33.7690003,0.099999999,17.41000037,29.99999907,400006.0201,-317.9309399,13.00000031,8.999999814,9.999999627,153.8736156,15.49999944
15000.00012,0.908287512,91.19999831,5.199999642,24.76099986,33.52600105,0.139999997,15.35000029,39.99999875,400007.0214,-324.4875867,13.00000031,8.999999814,9.999999627,75.66948386,15.49999944
15000.00012,1.069764702,83.400001,4.890000003,25.06299983,33.5309986,0.170000004,13.96000017,49.99999844,400008.0228,-15.4103594,13.00000031,8.999999814,9.999999627,192.4250003,15.49999944
